,Reviews,polarity_value,Sentiment
0,seen disrespect customer 3rd time 2 months unable check website working properly Lost 2 hours phone customer service team airport asked check hand luggage space cabin recline seat staff rude unhelpful wifi working multiple complaints contacted,-0.765,negative
1,Paid 14 hour long flight ticket includes use flight entertainment system Ended seat flight entertainment system malfunctioning Flight attendants sought perform service recovery customer relations team Contacted said team slightly week later offer eVoucher purchasing additional flight tickets BA Explained intentions travelling years use eVoucher sought alternative form compensation instead useful instead Customer Relations simply brushed request unable offer alternate gesture goodwill Compensation British Airways matter goodwill Pay ticket dont paid Compensation requires spend money airline disappoint ultimately self serving inconsiderate undiscerning insincere compensation isnt feel guilty remorseful compensation gesture goodwill dont deserve view,0.4211,positive
2,inconsiderate PA announcements purser appearingly decided exchange career BA comedy club acting right setting pre landing PA colleague long week British Airways dimming lights want faces afraid dark look passenger clearly purser intent sounded like mocking careless people aero darkness phobias panic attack joke inconsiderate damages BA brand safe accessible trusted airline Second PA landing like complaint EasyJet felt genuinely insulted joke BA charged abusive fee end literally beg rude dismissive ground staff Madrid check roller bag gate recently surgery needed hold walk Instant noodles purchased onboard barely edible cabin crew disappeared galley loudly chatting laughing looked nuisance wanted pass visit lavatory chief purser effectively announces unhappy fly Wake BA worse EasyJet Ryanair terms value money note ones found purser jokes funny cabin crew vulgar laughs passengers remained dead silent understand airlines scaling services cut costs understand allow staff openly mock insult passengers BA Silver member loyal BA customer years disgrace,-0.9674,negative
3,Absolutely terrible lost luggage flights delivered 3 days later smashed pieces lete departure caused miss connecting flight yielding 7 hour delay aircraft oversubscribed dirty unpleasant persistent odour Food genuinely horrible Im ex forces Ill eat usually,-0.9646,negative
4,booked premium economy round trip Phoenix Zurich AA codeshare operated British Airway way return flight Phoenix February 25th leg BA flight 0773 Zurich London Heathrow delayed departure cause missed BA 0289 connection flight Heathrow Phoenix problem dash terminal 5 security check point 12 00 PM airplane gate depart 2 25 PM schedule 30 min point terminal 5 security stopped told pass security airline requirement later realized flight 0289 leave 3 30 PM directed customer service book flight got BA customer service transfer counter agent available 12 passengers waiting lines told BA short staffs British holiday end February soccer championship match Sunday took hour half rebook flight day option want Phoenix different flight day agent booked flight told printer broken need Zone 2 terminal 5 ticket hotel voucher printed found Zone 2 ticket voucher hand assure agent luggage day flight told shuttle bus corner hotel map detail direction provided took find shuttle terminal 5 time arrived hotel tired day arrived airport hours ahead scheduled departed time 2 25 PM noticed checked bags spot based iPhone Find feature Apple Air Tag checked bags checked gate agent confirmed checked bag associated flight Luckily flight delayed hours bag flight flight team young flight attendants generally pleasant missed service meal order special meal popular chicken dish available came row told chicken dish ok told minutes bring different chicken dish totally forgot came collect trash mentioned forgot chicken dish surprised acting like lying Overall think premium economy flight BA worst experience recent memory British flagship carrier dont care emailed sent experience customer service responded standard corporate reply email templates,0.8258,positive
5,chose Rotterdam London City airport convenience small hotel Docklands meant short distance City Airport hours departure flight canceled Disappointing swift Amsterdam Schiphol Airport unfortunately offered flight Heathrow meant 1 5 hours tube hotel Flight operated LCY RTM 30 mins delay terms punctuality BA reliant flights okay snack drink E190 far comfortable 2 2 seating legroom A319 extra expenses cancelled flight handled promptly got money extra transport food BA good job respect hesitant book airline flying RTM LCY,0.3818,positive
6,entire booking ticketing experience stressful erroneous booked directly BA thought airline home headquarters UK need UK Mistake months ago cancel change flight paying 750 cancel flight money sitting 1 year account lost minus taxes flying American Airlines partner cant check redirected sites dont recognize dont appear AA Aer Lingus applications couldnt ask time change planes London despite reviews saying long hard mean cancel plane ticket loss money Ive phone agents hour 3 different calls app let time reset passcode 30 minute wait email error,-0.9595,negative
7,British Airways cancelled flight 24 hours Automatically rebooked 2 days later called customer service 3 times trying change help daughter flying different reservation legally blind needed flight care help eventually bought new tickets easyJet arrive home entered complaint fare refunded took 4 months response cancelled strike Spain refund EasyJet cancel experience awful disappointing,-0.765,negative
8,wanted write review huge thank staff Lisbon named Jay Ramphul went helped urgent situation boarded flight 20 minutes realized left cell phone club lounge going permission deboard time Jay stepped happened literally ran far distance retrieve phone plane minutes true service dont know review management hope want express gratitude help kindness matter,0.9623,positive
9,Check fast friendly Security breeze Lounge busy early evening comfortable clean Flight attendants welcoming Seat nightmare reverse forward step window seat hell thought good idea Meal OK curry based like curry flight India FA brilliant flyer awake overnight flight Improving BA flight,0.9714,positive
10,time seen new Club World suite seat comfortable unlike airlines BA crammed seats business class humanly possible cabin felt cramped crew behaved passengers grateful turning shift looked scruffy new uniforms clearly dress code policy scrapped appreciate appearance measure service quality UK service appalling menu lacked choice food presented fell floor scooped plate bedding atrocious old scraggly blanket fitting seat cover cold asked extra blanket arrived drinks coasters obviously cutbacks drinks kept spilling decided clean crew bothered pick fact bathroom hand towels act drinks coasters mop mess aircraft old retrofitted leak galley wall lots blue roll situ mop mess premium service felt like low cost carrier business,0.7783,positive
11,Flew business class Doha London 31st March service slow unfriendly male cabin crew working business class asked female cabin crew looking area smile ordered waffles breakfast looked like fallen plate thrown photo plate waffles served hot moved plate burnt finger warned ferociously hot shocked bad food presentation feel comfortable saying cabin crew approachable friendly lunch bread roll dry rock hard cut ends sure food service bad flight generally BA food good presented Wi Fi working flight,-0.5106,negative
12,Starting Heathrow Terminal 3 Check fairly easy fast track security terrible area currently refurbishment scanning machines fast track area time use queue long slow moving heard mixed things BA club lounge fairly impressed Food options fairly varied tasted nice Nice salads pie veg Drinks BA lounges easy lay hands cater wants Lounge decent size seating options busy time went Sunday evening Boarding organised club passengers higher tiers boarded quickly easily Amenity kit bottle water bedding waiting seat Welcome drinks provided fairly quickly sitting Hot towel provided shortly followed drink nuts regularly said nuts infinitely better served properly small packet Food service board consisted main dinner service served 1 2 hrs breakfast meal landing meals genuinely delicious meats tender juicy perfectly cooked Drinks provided asked crew busy serving passengers proactively offer ups Breakfast offered passengers woke meant people ate wanted order like la carte dining Crew friendly efficient nice personality coming fairly standard experience BA flight entertainment excellent Good screen quality Responsive touch screen Excellent selection use WiFi available aircraft prices reasonable think seat generally comfortable storage compartments convenient spacious crew aisle plane forgot unlock doors people work periodically request crew Whilst complain fully flat bed reverse herringbone layout footwell bit cramped means lot comfortable lie facing away door manage hours sleep bad Overall lovely flight absolutely holding decent business class product service,0.995,positive
13,flown route EasyJet regularly years age 80 boarding Nice chaotic wearing l decided pay significant extra BA better outward flight Heathrow great acceptable l attempted checkin return l discovered booking time l booked l recovering illness assumed l mistake considerable panic l booked minute flights considerable cost EasyJet boarding usual shambles Flying Gatwick Heathrow way home 120 taxi 2 bus fare Heathrow arrival home l discovered email confirmation return flight BA immediately contacted complain ask financial compensation weeks sent apologies slow response far elderly friends find travelling British Airways stressful travel outside UK help environment remarkable airline industry UK deteriorated extent Unfortunately JAL Singapore l happily years fly Europe,0.7717,positive
14,minute business trip HND route regularly fly Overall good experience new club world offering personally like find plenty room little tight arrived LHR plenty time class wing eligible exec club status Great security lane reopen efficient new need bag scanners Additionally class lounge busy usual nice experience Boarding gate A10 bus probably enjoyable journey uncommon flight use A10 baffles large number passengers need scenic journey past gates B gates finally C gates arriving aircraft passing airbridge gates route Boarding organised real announcements started checking peoples bags pre boarding announcement confused people thought general boarding started moving forward Group 1 opened got queue Group 2 3 began boarding separate line people waiting board buss room onboard aircraft clean like IFE offering new club world Unfortunately didnt find crew particularly welcoming engaging know lot passengers long flight smiling customer service point walk galley toilet return 3 crew members talking particular blocking way looking proceeded continue didnt offer et past eventually inflight manager moved pass occasion went request drink effectively scowled look felt like want disturbing points generally good flight time arrival HND,0.9845,positive
15,Overall disappointing BA status lounge access small busy aircraft remote gate boarding organised group status manage way bus 3 arrival aircraft plane prepared wait bus 10 minutes little irritable turns inbound flight number complex wheelchair passengers needed assistance delayed took long time arrive 35 minutes waiting bus finally boarded aircraft Captain apologised delay mention crew Seat standard Euro Traveller service okay crew particularly engaging tried order coffee seatbelt sign result minor turbulence told wouldnt possible crew member reached rows seatbelt sign turned didnt come ask like coffee Overall arrived LHR 1 hour late tug aircraft Lisbon wait gate LHR Disappointing worst flight,-0.9006,negative
16,LHR Delhi Business Exceptional flight Stylish quirky B Gates lounge interesting modern eclectic food plus Whispering Angel bar Food board delicious presented Friendly fun relaxed crew blend deference self deprecation familiarity flying BA 35 years classes probably best Great job BA,0.9761,positive
17,Efficient Smooth flight start finish Cabin crew attentive bubbly clean aircraft Mcvities snacks nice touch coffee bag unexpectedly nice praise complain,0.9042,positive
18,told hand luggage plane overhead cabins hold aircraft door Frustrating hand luggage avoid delays Heathrow bags arrive baggage belt 45 mins waiting spend 30 mins filling forms etc told bags Madrid know time decency inform waited arrive 12 hours later communication BA terrible unnecessary experience badly handled BA people bags big hand luggage cabins boarded unfair helping informing fact leave Madrid double level incompetence,-0.7269,negative
19,flight comfortable hour delay return leg leg told small expensive cabin case hold flight amused passengers bringing larger cases cabin BA stick cabin bag size limit inconvenience comply,0.3182,positive
20,good flying experience BA travelling young family 4 flights left time arrived early nearly flights Food generous tasty Economy class crew coming water drinks flights checked luggage arrived safely undamaged VCE return flight YUL flights crew attentive friendly helpful children especially gentlemen served return flights VCE YUL March 5th B787 8 interior dated needs updated compete European counterparts panels squeaking loudly hit turbulence seat covers coming seats tray tables level loose eating IFE B787 8 worked fine definitely wasnt responsive newer larger screen like ones B777 200 Thankfully B777 200 interior updated flew clogged sink lavatories created problems passengers Unfortunately nearly flights garbage left seat pockets floors werent clean incoming flight LHR B787 8 assigned gate arrived early airport resulted significant delays airport buses plane slowed deplaning process definitely consider flying trans Atlantic BA received value service fare paid,0.9654,positive
21,Waited hour check Paphos business check Staff utterly incompetent Flight crew business class removed ruck sack flight bins consent way customer luggage coerced luggage feet flight Utterly outrageous thing expect BA business class,-0.8067,negative
